score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
128,83;333;0,4414;304,58;0,0224;2,136;;180;17;5;-25;-95;-70;-30;-95;-40;15;2,5;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,2;8;13;2;24
128,6;476;0,4223;407,47;0,024;1,823;;210;14;6;-25;-85;-70;-35;-95;-45;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,5;3,4000000000000004;8;13;2;24
128,45;325;0,4492;305,56;0,0375;2,048;;180;13;6;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,2;8;13;2;24
127,81;914;0,4168;507,72;0,0395;1,526;;200;19;5;-25;-90;-65;-30;-95;-35;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,6000000000000005;5;13;2;24
126,34;145;0,5379;216,2;0,0147;2,972;;220;20;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;10;12;2;19
123,76;366;0,4672;344,56;0,0222;2,073;;190;17;7;-25;-90;-70;-30;-95;-40;17;2,0;2,0;0,5;16;13;4;0,15000000000000002;0,4;3,8;7;13;2;24
122,76;278;0,4676;292,16;0,0172;2,306;;160;15;8;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
122,58;629;0,442;436,69;0,0367;1,664;;200;19;6;-25;-90;-65;-30;-95;-40;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,6000000000000005;6;13;2;24
122,4;420;0,4381;345,8;0,0249;1,872;;170;15;5;-25;-95;-70;-30;-95;-40;15;2,5;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,2;8;13;2;24
120,1;305;0,4295;305,1;0,0193;2,118;;180;16;6;-25;-85;-70;-30;-95;-40;16;2,0;2,0;0,5;18;14;4;0,15000000000000002;0,30000000000000004;4,0;9;12;2;24
